app	product_id	type	price_usd	reward_qty	reward_unit	duration	notes
EmojiQuiz	five_lives	consumable	0.99	5	lives		
EmojiQuiz	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
EmojiQuiz	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
EmojiQuiz	hint_pack	consumable	1.99	10	hints		
EmojiQuiz	starter_pack	consumable	0.99	bundle	coins+lives+hints		
EmojiQuiz	season_pass_monthly	subscription	1.99		subscription	P1M	
EmotionFlash	remove_ads	non_consumable	2.99		ads_off	forever	
EmotionFlash	coins_small	consumable	0.99	100	coins		
EmotionFlash	coins_large	consumable	2.99	500	coins		
EmotionFlash	five_lives	consumable	0.99	5	lives		
EmotionFlash	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
EmotionFlash	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
EmotionFlash	hint_pack	consumable	1.99	10	hints		
EmotionFlash	starter_pack	consumable	0.99	bundle	coins+lives+hints		
EmotionFlash	season_pass_monthly	subscription	1.99		subscription	P1M	
ExpenseTracker	remove_ads	non_consumable	2.99		ads_off	forever	
ExpenseTracker	coins_small	consumable	0.99	100	coins		
ExpenseTracker	coins_large	consumable	2.99	500	coins		
ExpenseTracker	five_lives	consumable	0.99	5	lives		
ExpenseTracker	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
ExpenseTracker	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
ExpenseTracker	hint_pack	consumable	1.99	10	hints		
ExpenseTracker	starter_pack	consumable	0.99	bundle	coins+lives+hints		
ExpenseTracker	season_pass_monthly	subscription	1.99		subscription	P1M	
EyeRest	remove_ads	non_consumable	2.99		ads_off	forever	
EyeRest	coins_small	consumable	0.99	100	coins		
EyeRest	coins_large	consumable	2.99	500	coins		
EyeRest	five_lives	consumable	0.99	5	lives		
EyeRest	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
EyeRest	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
EyeRest	hint_pack	consumable	1.99	10	hints		
EyeRest	starter_pack	consumable	0.99	bundle	coins+lives+hints		
EyeRest	season_pass_monthly	subscription	1.99		subscription	P1M	
FastingTimer	remove_ads	non_consumable	2.99		ads_off	forever	
FastingTimer	coins_small	consumable	0.99	100	coins		
FastingTimer	coins_large	consumable	2.99	500	coins		
FastingTimer	five_lives	consumable	0.99	5	lives		
FastingTimer	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
